"","1026","1028","1030","1032","1034","1036","1038","1040","1042","1044","H1","H10","H11","H12","H2","H3","H4","H5","H6","H7","H8","H9"
"MSTRG.3057.1",0,0,0,233,0,0,0,272,142,117,0,212,0,138,3,0,0,26,364,0,0,0
"MSTRG.67629.1",82,98,46,39,0,58,75,0,0,34,79,0,0,0,0,0,0,0,0,0,48,0
"MSTRG.22377.1",0,0,0,0,59,0,72,58,0,0,0,88,48,79,94,134,0,0,0,81,0,0
"MSTRG.101916.1",40,45,33,36,35,27,35,0,27,19,53,46,0,43,36,58,0,29,22,0,25,43
"MSTRG.71000.1",0,0,0,0,126,0,165,0,0,0,180,0,102,154,166,175,129,0,123,0,141,0
"MSTRG.106442.1",0,0,0,0,0,0,361,254,0,0,301,364,220,280,0,346,261,0,0,326,0,0
"MSTRG.74727.1",0,79,0,0,5,78,72,0,0,52,0,0,25,0,0,56,0,36,0,23,0,0
"MSTRG.93989.1",36,14,0,13,24,22,16,15,0,18,26,14,20,39,24,28,25,10,18,21,31,0
"MSTRG.44318.1",54,0,0,0,0,0,0,73,52,24,72,0,0,0,0,108,0,53,102,0,0,0
"MSTRG.10222.1",47,368,0,209,39,292,248,325,203,32,50,0,109,65,0,290,53,192,205,208,0,0
"MSTRG.48599.1",0,159,0,109,0,0,183,151,125,101,0,0,114,0,0,0,0,0,121,0,164,0
"MSTRG.75617.1",76,93,0,13,65,56,76,72,48,39,72,0,43,90,87,111,85,23,86,82,48,0
"MSTRG.76629.1",64,0,0,0,120,50,52,0,0,0,73,0,0,112,79,99,120,72,0,60,58,0
"MSTRG.109012.1",29,61,0,28,63,37,38,57,26,34,35,0,34,30,49,69,44,76,61,42,0,0
"MSTRG.87294.1",444,765,462,0,548,686,508,0,351,267,0,475,0,0,0,0,0,0,0,0,452,0
"MSTRG.89697.1",18,16,11,11,14,14,15,0,5,0,13,13,0,21,27,27,0,10,19,11,8,27
"MSTRG.24216.1",0,11,16,0,0,16,0,0,0,5,50,44,0,236,0,65,0,0,0,15,0,20
"MSTRG.79739.1",6,383,0,249,281,434,296,407,287,17,7,544,264,441,545,528,7,369,316,359,5,0
"MSTRG.97261.1",0,0,0,0,83,0,117,105,0,57,163,0,108,211,172,248,0,0,107,0,0,0
"MSTRG.42388.1",0,0,0,0,0,0,356,0,0,263,677,0,289,378,557,0,546,254,0,387,0,0
"MSTRG.3872.1",0,162,0,0,113,156,0,129,0,48,0,99,0,0,118,0,0,101,0,139,62,0
"MSTRG.67086.1",14,0,0,68,0,57,105,0,98,19,0,0,101,37,33,190,0,123,126,132,21,0
